,POLICY_BEGIN_MONTH,POLICY_END_MONTH,POLICY_SALES_CHANNEL,POLICY_SALES_CHANNEL_GROUP,POLICY_BRANCH,POLICY_MIN_AGE,POLICY_MIN_DRIVING_EXPERIENCE,VEHICLE_MAKE,VEHICLE_MODEL,VEHICLE_ENGINE_POWER,VEHICLE_IN_CREDIT,VEHICLE_SUM_INSURED,POLICY_INTERMEDIARY,INSURER_GENDER,POLICY_CLM_N,POLICY_CLM_GLT_N,POLICY_PRV_CLM_N,POLICY_PRV_CLM_GLT_N,CLIENT_HAS_DAGO,CLIENT_HAS_OSAGO,POLICY_COURT_SIGN,CLAIM_AVG_ACC_ST_PRD,POLICY_HAS_COMPLAINTS,POLICY_YEARS_RENEWED_N,POLICY_DEDUCT_VALUE,CLIENT_REGISTRATION_REGION,POLICY_PRICE_CHANGE
19260,5,5,52,6,Санкт-Петербург,35,7,Renault,Scenic,110.0,1,702652.0,171,M,0,0,0,0,0,0,0,0.0,0,1,0.0,Санкт-Петербург,-0.08
19270,5,5,52,6,Санкт-Петербург,47,16,Toyota,RAV4,146.0,1,1111797.0,1253,F,1L,0,0,0,0,0,0,0.0,0,1,0.0,Санкт-Петербург,0.1
19278,8,8,53,6,Санкт-Петербург,41,12,Hyundai,ix35,150.0,1,1104900.0,485,M,0,0,N,N,0,1,0,0.0,0,0,0.0,Ленинградская,0.0
19289,5,5,53,6,Санкт-Петербург,53,17,Volkswagen,Caddy,105.0,0,656205.0,641,M,1L,0,1L,1L,0,0,0,6.0,0,2,10000.0,Санкт-Петербург,-0.08
19302,6,6,50,5,Санкт-Петербург,33,10,Volkswagen,Golf,122.0,0,622407.0,N,F,0,0,1L,0,0,1,0,0.0,0,3,0.0,Санкт-Петербург,0.05
19303,12,12,53,6,Санкт-Петербург,60,21,Mitsubishi,ASX,117.0,1,783990.0,1200,M,0,0,N,N,0,0,0,0.0,0,0,15000.0,Ленинградская,-0.13
19307,10,10,52,6,Санкт-Петербург,39,18,Ford,Kuga,150.0,0,1110000.0,493,M,0,0,N,N,0,1,0,0.0,0,0,0.0,Санкт-Петербург,-0.43
19311,3,3,55,6,Москва,57,13,Suzuki,Grand Vitara,140.0,1,1275900.0,1252,M,0,0,N,N,0,1,0,0.0,0,0,0.0,Москва,-0.27
19313,3,3,11,1,Санкт-Петербург,60,41,Ford,Focus,145.0,0,445500.0,226,M,1S,1S,0,0,0,0,0,0.0,0,4,0.0,Санкт-Петербург,-0.54
19314,8,8,50,5,Москва,58,6,Nissan,Almera,107.0,0,411000.0,N,F,0,0,0,0,1,1,0,0.0,0,2,25000.0,Москва,0.0
19320,5,5,53,6,Санкт-Петербург,66,25,Suzuki,Grand Vitara,140.0,1,807500.0,924,M,0,0,0,0,0,0,0,0.0,0,1,10000.0,Санкт-Петербург,-0.28
19328,3,3,52,6,Санкт-Петербург,36,9,Lada,217130 Priora,98.0,0,328000.0,245,M,0,0,0,0,1,1,0,0.0,0,2,0.0,Санкт-Петербург,0.02
19356,11,11,53,6,Санкт-Петербург,59,10,Hyundai,ix35,150.0,1,1043900.0,485,M,0,0,N,N,0,1,0,0.0,0,0,0.0,Санкт-Петербург,0.0
19357,10,10,55,6,Москва,48,20,Mitsubishi,ASX,140.0,1,883990.0,1096,F,0,0,N,N,0,0,0,0.0,0,0,0.0,Москва,-0.71
19361,4,3,50,5,Москва,47,12,Nissan,Tiida,110.0,0,562740.0,N,F,1S,1S,0,0,0,0,0,1.0,0,2,0.0,Москва,0.05
19367,3,3,55,6,Москва,66,21,Suzuki,Grand Vitara,169.0,0,1083958.0,1252,M,1S,1S,0,0,0,0,0,13.0,0,1,0.0,Москва,-0.03
19378,11,11,6,4,Санкт-Петербург,28,9,Chevrolet,Cruze,109.0,1,575000.0,244,M,0,0,N,N,0,0,0,0.0,0,0,15000.0,Санкт-Петербург,-0.14
19383,4,4,52,6,Москва,62,32,Toyota,RAV4,146.0,0,947920.0,910,M,2,2,1L,1L,0,1,0,7.0,0,1,12500.0,Москва,0.18
19395,4,4,52,6,Москва,58,26,Subaru,Forester,150.0,1,1015980.0,205,M,0,0,0,0,0,0,0,0.0,0,1,0.0,Москва,-0.57
19406,11,11,50,5,Москва,41,13,Kia,Sorento,197.0,0,1403343.0,N,M,2,2,2,0,1,1,0,4.0,1,1,0.0,Москва,0.03
19421,9,9,52,6,Санкт-Петербург,55,4,Lada,Largus,105.0,1,455223.0,245,M,0,0,0,0,0,0,0,0.0,0,1,0.0,Санкт-Петербург,0.0
19426,8,8,55,6,Москва,53,29,Ford,Kuga,182.0,0,1082400.0,1096,M,0,0,1S,1S,0,1,0,0.0,0,1,0.0,Московская,-0.09
19432,4,4,50,5,Москва,36,9,Kia,Ceed,129.0,0,552500.0,N,F,0,0,0,0,1,1,0,0.0,0,1,20000.0,Москва,-0.33
19435,4,4,52,6,Москва,51,32,Kia,Sorento,197.0,1,1156118.0,1372,M,0,0,0,0,0,0,0,0.0,0,1,0.0,Москва,-0.14
19440,10,10,53,6,Санкт-Петербург,51,18,BMW,X1,184.0,0,1100000.0,1209,F,1S,1S,N,N,1,1,0,0.0,0,0,0.0,Санкт-Петербург,0.0
19463,3,3,53,6,Санкт-Петербург,50,11,Volkswagen,Tiguan,150.0,1,812702.0,641,F,0,0,0,0,0,0,0,0.0,0,2,0.0,Санкт-Петербург,0.05
19468,4,4,50,5,Москва,30,5,Volkswagen,Sharan,115.0,0,503010.0,N,M,0,0,0,0,1,1,0,0.0,0,3,12500.0,Московская,-0.07
19473,4,4,52,6,Москва,35,6,Kia,Rio,123.0,1,491918.0,N,M,0,0,0,0,0,0,0,0.0,0,1,30000.0,Рязанская,-0.21
19481,4,4,55,6,Москва,38,16,Mitsubishi,Grandis,165.0,0,547760.0,1096,M,0,0,0,0,0,0,0,0.0,0,6,10000.0,Московская,0.17
19482,4,4,53,6,Санкт-Петербург,38,6,Nissan,Qashqai,117.0,0,690000.0,343,F,0,0,0,0,0,1,0,0.0,0,2,0.0,Ленинградская,-0.35
19493,5,5,52,6,Москва,44,10,Mazda,3,105.0,0,549747.0,910,F,0,0,0,0,1,1,0,0.0,0,5,0.0,Московская,0.0
19496,4,4,52,6,Москва,40,22,Kia,Rio,123.0,1,693400.0,910,M,0,0,N,N,0,0,0,0.0,0,0,15000.0,Москва,-0.28
19497,4,4,52,6,Санкт-Петербург,48,16,Kia,Soul,128.0,0,977900.0,245,F,0,0,N,N,0,1,0,0.0,0,0,0.0,Санкт-Петербург,-0.26
19499,4,4,54,6,Москва,27,8,Geely,Emgrand EC7,126.0,1,619000.0,412,F,1L,1L,N,N,0,0,0,1.0,0,0,0.0,Москва,-0.55
19500,1,1,1,4,Санкт-Петербург,47,22,Land Rover,Discovery,249.0,1,2500000.0,66,M,1S,1S,N,N,0,1,0,4.0,0,0,10000.0,Санкт-Петербург,-0.34
19508,7,7,59,3,Санкт-Петербург,41,11,Nissan,Qashqai,141.0,1,686880.0,565,M,2,2,0,0,1,1,0,8.666666667,0,4,0.0,Санкт-Петербург,0.09
19522,4,4,1,4,Москва,37,6,BMW,X5,555.0,0,4349922.0,33,M,1S,1S,0,0,1,1,0,4.0,0,4,0.0,Москва,0.05
19529,3,3,55,6,Москва,45,10,Mitsubishi,Pajero,250.0,0,820125.0,1096,M,1S,1S,0,0,0,1,0,0.0,0,4,15000.0,Волгоградская,-0.19
19533,12,12,52,6,Санкт-Петербург,26,2,Renault,Megane,114.0,0,533132.0,1096,F,0,0,1L,1L,0,1,0,0.0,0,1,10000.0,Ленинградская,-0.4
19535,5,5,52,6,Москва,32,13,Kia,Sportage,150.0,1,660490.0,1372,M,0,0,0,0,1,0,0,0.0,0,4,0.0,Москва,0.05
19537,7,7,53,6,Москва,56,4,Skoda,Fabia,105.0,0,600896.0,1221,M,1S,1S,0,0,0,0,0,6.0,0,1,15000.0,Москва,-0.54
19542,5,5,52,6,Москва,31,0,Peugeot,308,120.0,0,395531.0,910,F,1S,1S,0,0,1,0,0,8.0,0,4,15000.0,Москва,-0.18
19549,4,4,50,5,Москва,27,6,Ford,Explorer,294.0,0,1800000.0,N,M,0,0,0,0,1,1,0,0.0,0,1,30000.0,Московская,-0.06
19551,7,7,55,6,Москва,37,12,Mitsubishi,Outlander,146.0,0,827380.0,1096,M,0,0,0,0,0,1,0,40.0,0,1,12500.0,Марий Эл,-0.13
19552,8,8,52,6,Москва,43,15,Kia,Rio,97.0,0,234174.0,910,F,0,0,0,0,1,1,0,0.0,0,5,0.0,Московская,0.05
19553,8,8,59,3,Санкт-Петербург,53,6,Hyundai,Elantra,132.0,1,620353.0,998,F,0,0,0,0,0,1,0,0.0,0,2,0.0,Ленинградская,-0.35
19554,8,8,52,6,Санкт-Петербург,35,4,Renault,Duster,135.0,1,779861.0,1096,F,1S,1S,1S,1S,1,1,0,8.0,0,1,0.0,Санкт-Петербург,0.11
19555,8,8,53,6,Санкт-Петербург,32,12,Nissan,Note,88.0,0,346704.0,343,F,0,0,0,0,1,0,0,0.0,0,6,0.0,Санкт-Петербург,0.05
19558,4,4,50,5,Санкт-Петербург,55,14,Volkswagen,Golf,102.0,0,474350.0,N,F,0,0,0,0,1,1,0,0.0,0,6,5000.0,Санкт-Петербург,0.0
19561,7,7,52,6,Москва,37,7,Kia,Sportage,150.0,0,591804.0,1372,M,0,0,0,0,0,0,0,0.0,0,3,15000.0,Москва,-0.07
19562,7,7,55,6,Москва,35,10,Mitsubishi,Lancer X,143.0,0,276431.0,1096,M,0,0,0,0,0,0,0,0.0,0,5,0.0,Московская,0.05
19566,8,8,50,5,Москва,34,6,Kia,Ceed,122.0,0,531000.0,N,F,1L,0,0,0,1,1,0,1.0,0,5,5000.0,Москва,0.1
19577,7,7,10,1,Москва,52,17,Opel,Insignia,220.0,1,845750.0,1063,M,0,0,0,0,0,1,0,0.0,0,1,15000.0,Москва,0.05
19579,8,8,32,1,Москва,36,14,Volkswagen,Polo,105.0,0,325108.0,645,F,1S,1S,N,N,0,1,0,0.0,0,0,0.0,Московская,-0.38
19586,8,8,50,5,Санкт-Петербург,26,7,Hyundai,Solaris,123.0,0,464715.0,N,M,0,0,0,0,1,1,0,0.0,0,3,10000.0,N,-0.13
19591,8,8,52,6,Санкт-Петербург,36,1977,Skoda,Rapid,110.0,1,650000.0,686,F,0,0,N,N,0,1,0,0.0,0,0,0.0,Санкт-Петербург,0.0
19609,1,1,53,6,Санкт-Петербург,24,6,Hyundai,Solaris,107.0,1,390000.0,917,M,0,0,N,N,0,1,0,0.0,0,0,15000.0,Санкт-Петербург,0.3
19610,8,8,1,4,Москва,26,2010,Hyundai,Solaris,123.0,0,617400.0,1288,F,0,0,N,N,1,1,0,0.0,0,0,15000.0,Москва,-0.64
19614,6,6,50,5,Санкт-Петербург,47,14,Volvo,XC60,163.0,0,1269934.0,N,M,0,0,0,0,0,0,0,0.0,0,2,30000.0,Ленинградская,-0.07
19615,6,6,53,6,Санкт-Петербург,34,10,Toyota,Camry,277.0,0,810810.0,951,F,0,0,0,0,0,1,0,0.0,0,5,0.0,Санкт-Петербург,0.03
19628,8,8,52,6,Москва,41,0,BMW,3-series,184.0,1,1858000.0,1051,M,0,0,N,N,1,0,0,0.0,0,0,0.0,Москва,0.0
19637,6,6,53,6,Москва,43,14,Toyota,RAV4,146.0,0,878917.0,272,M,0,0,0,0,1,1,0,0.0,0,2,50000.0,Москва,-0.4
19639,6,6,50,5,Москва,29,11,Toyota,Camry,181.0,0,1026212.0,N,M,0,0,0,0,0,1,0,0.0,0,3,50000.0,Москва,-0.13
19644,8,8,52,6,Санкт-Петербург,33,2006,Renault,Logan,82.0,1,560000.0,171,F,0,0,N,N,0,0,0,0.0,0,0,20000.0,Ленинградская,-0.3
19645,3,3,52,6,Санкт-Петербург,38,13,BMW,5-series,151.0,0,2350000.0,1223,M,0,0,N,N,0,0,0,0.0,0,0,15000.0,Санкт-Петербург,-0.16
19655,6,6,54,6,Москва,43,16,Volvo,XC70,181.0,0,1517000.0,1253,M,0,0,0,0,0,0,0,0.0,0,1,0.0,Москва,0.05
19658,8,8,52,6,Санкт-Петербург,27,4,Kia,Rio,123.0,0,361889.0,245,M,0,0,2,1L,0,1,0,0.0,0,3,15000.0,Санкт-Петербург,-0.17
19663,6,6,50,5,Москва,40,18,Volkswagen,Jetta,102.0,0,450000.0,N,M,1S,1S,N,N,1,1,0,37.0,0,0,12500.0,N,-0.57
19666,10,10,52,6,Москва,28,3,Nissan,Murano,249.0,1,1334505.0,326,F,0,0,1S,1S,0,0,0,0.0,0,1,0.0,Московская,0.0
19668,6,6,53,6,Санкт-Петербург,53,30,Hyundai,Grand Santa Fe,197.0,0,1800000.0,917,M,0,0,0,0,0,1,0,0.0,0,1,0.0,Санкт-Петербург,0.0
19672,8,8,50,5,Москва,31,9,Mercedes-Benz,C,156.0,0,600000.0,N,F,0,0,N,N,1,1,0,0.0,0,0,20000.0,Москва,-0.51
19674,9,9,55,6,Москва,31,11,Skoda,Superb,152.0,0,1115775.0,1401,M,1S,1S,N,N,0,0,0,0.0,0,0,0.0,Москва,-0.01
19680,7,7,55,6,Москва,42,12,Hyundai,Santa Fe,197.0,0,736169.0,1096,M,0,0,0,0,0,0,0,0.0,0,5,20000.0,Московская,0.18
19681,7,7,52,6,Москва,55,26,Kia,Ceed,122.0,0,469431.0,910,M,1L,0,1L,1L,0,1,0,3.0,0,4,0.0,Московская,0.05
19697,7,7,50,5,Москва,58,28,ВАЗ,1117 Kalina,81.0,0,203000.0,N,M,0,0,0,0,1,1,0,0.0,0,5,0.0,Москва,-0.1
19701,4,4,52,6,Санкт-Петербург,48,22,Hyundai,Santa Fe,197.0,1,1071480.0,1333,M,1L,1L,2,1S,0,0,0,104.0,0,3,0.0,Санкт-Петербург,0.05
19702,6,6,59,3,Санкт-Петербург,36,14,Nissan,X-Trail,169.0,0,657000.0,1257,M,0,0,0,0,1,1,0,0.0,0,7,0.0,Санкт-Петербург,-0.53
19704,7,7,52,6,Москва,49,15,Kia,Ceed,129.0,1,470430.0,1372,M,0,0,0,0,0,0,0,0.0,0,3,0.0,Москва,0.05
19705,6,6,52,6,Москва,29,10,Kia,Ceed,129.0,0,599350.0,N,M,0,0,0,0,0,1,0,0.0,0,2,15000.0,Мордовия,0.05
19707,9,9,52,6,Санкт-Петербург,35,5,ВАЗ,2107,73.0,0,108000.0,245,F,0,0,0,0,0,1,0,0.0,0,3,0.0,Санкт-Петербург,0.0
19713,7,7,34,1,Санкт-Петербург,63,44,Toyota,Land Cruiser 150,173.0,0,1236870.0,31,M,0,0,0,0,0,1,0,0.0,0,4,0.0,Санкт-Петербург,0.05
19722,8,8,53,6,Санкт-Петербург,53,24,Hyundai,Santa Fe,197.0,1,926618.0,946,M,0,0,0,0,1,1,0,0.0,0,3,0.0,Ленинградская,0.03
19723,7,7,53,6,Санкт-Петербург,31,2002,Nissan,Qashqai,144.0,1,1272076.0,343,F,0,0,N,N,0,1,0,0.0,0,0,0.0,N,-0.07
19727,7,7,53,6,Санкт-Петербург,49,7,Mercedes-Benz,ML,306.0,0,2544050.0,N,F,0,0,0,0,1,1,0,0.0,0,2,0.0,Санкт-Петербург,0.05
19729,7,7,53,6,Санкт-Петербург,51,18,Skoda,Octavia,102.0,0,538200.0,948,M,0,0,1L,1L,1,0,0,0.0,0,3,20000.0,Санкт-Петербург,-0.11
19733,8,8,55,6,Москва,41,23,Ford,Explorer,294.0,1,1474779.0,1096,M,0,0,0,0,0,1,0,0.0,0,1,0.0,Московская,0.0
19740,8,8,55,6,Москва,36,0,Mitsubishi,Outlander,146.0,1,1094000.0,1096,F,1L,1L,N,N,0,0,0,18.0,0,0,15000.0,Московская,-0.27
19747,7,7,52,6,Санкт-Петербург,69,26,Renault,Duster,102.0,0,546120.0,171,M,0,0,0,0,0,0,0,0.0,0,1,0.0,Санкт-Петербург,0.05
19748,7,7,50,5,Москва,46,11,Volvo,XC70,215.0,0,1100000.0,N,F,0,0,N,N,0,0,0,2.0,0,0,10000.0,Москва,-0.33
19749,7,7,54,6,Москва,56,8,Ssang Yong,Actyon,149.0,1,647513.0,1349,F,0,0,0,0,0,0,0,0.0,0,2,0.0,Москва,0.05
19754,8,8,13,1,Санкт-Петербург,50,26,Renault,Sandero,102.0,0,377268.0,117,M,0,0,0,0,0,0,0,0.0,0,2,0.0,Санкт-Петербург,0.1
19764,8,8,39,1,Москва,40,17,Volkswagen,Touareg,245.0,0,2000000.0,826,M,0,0,N,N,1,1,0,0.0,0,0,15000.0,Москва,0.0
19766,8,8,55,6,Москва,45,0,Skoda,Yeti,110.0,1,879200.0,1401,M,1L,1L,N,N,0,0,0,3.0,0,0,0.0,Москва,-0.03
19770,8,8,53,6,Санкт-Петербург,62,1975,Volkswagen,Jetta,105.0,0,825000.0,224,F,0,0,N,N,0,1,0,0.0,0,0,0.0,Ленинградская,0.0
19778,8,8,52,6,Москва,39,0,Ford,Kuga,150.0,1,1252189.0,910,F,0,0,N,N,0,0,0,0.0,0,0,0.0,Москва,0.0
19780,12,12,54,6,Москва,47,22,BMW,X6,449.0,1,5486612.0,703,M,1S,1S,N,N,1,0,0,72.0,0,0,0.0,Пензенская,0.02
19781,9,9,2,4,Санкт-Петербург,44,14,Porsche,Cayenne,400.0,0,3649050.0,1178,M,3,3,1S,1S,1,1,0,0.0,0,4,0.0,Санкт-Петербург,-1.0
19785,4,4,16,1,Москва,31,13,Volkswagen,Jetta,122.0,1,681127.0,1074,M,2,2,0,0,0,0,0,23.0,0,1,0.0,Московская,1.44
19795,4,4,54,6,Москва,32,12,BMW,X5,450.0,0,5907926.0,344,M,3,1S,N,N,0,0,0,3.333333333,1,0,0.0,Москва,0.03
19797,9,9,60,3,Москва,42,2,Kia,Rio,107.0,1,467500.0,1,F,0,0,0,0,1,0,0,0.0,0,1,0.0,Ярославская,0.01
19799,5,5,50,5,Москва,51,27,Audi,S5,333.0,0,1773000.0,N,M,2,1S,0,0,1,1,0,22.0,0,3,0.0,Москва,-0.09
19801,4,4,52,6,Москва,33,9,Kia,Sportage,150.0,1,836318.0,1372,F,1L,0,1S,1S,0,0,0,5.0,0,1,0.0,Москва,0.04
19805,12,12,53,6,Санкт-Петербург,28,2,Audi,A5,224.0,1,2036126.0,1214,F,2,2,N,N,1,1,0,14.0,0,0,10000.0,Калужская,0.05
19811,4,4,4,4,Москва,36,17,Porsche,911,355.0,0,1999000.0,47,M,1S,0,0,0,0,0,0,0.0,0,4,10000.0,Москва,0.0
19817,5,5,52,6,Москва,34,6,Ford,Explorer,294.0,0,1380060.0,910,M,0,0,0,0,0,0,0,0.0,0,3,10000.0,Московская,0.0
19820,12,12,52,6,Санкт-Петербург,31,10,Hyundai,ix35,150.0,1,812175.0,N,F,1S,1S,0,0,1,1,0,47.0,0,2,0.0,Ленинградская,0.04
19826,3,2,13,1,Санкт-Петербург,45,14,Volkswagen,Tiguan,170.0,0,810000.0,117,F,0,0,0,0,1,1,0,0.0,0,2,7500.0,Санкт-Петербург,0.04
19835,2,2,15,1,Москва,42,14,Mercedes-Benz,B,122.0,0,845775.0,1020,M,0,0,0,0,0,0,0,0.0,0,1,30000.0,Москва,-0.31
19840,4,4,52,6,Санкт-Петербург,47,21,Toyota,Land Cruiser 200,309.0,0,2610880.0,1253,M,1L,1L,0,0,1,1,0,1.0,0,1,0.0,Санкт-Петербург,1.39
19858,3,3,53,6,Санкт-Петербург,35,17,Nissan,Pathfinder,190.0,0,1483000.0,1346,M,0,0,0,0,1,1,0,0.0,0,2,0.0,Санкт-Петербург,0.03
19864,10,10,52,6,Москва,47,11,Kia,Sportage,150.0,1,796110.0,260,M,0,0,0,0,1,0,0,0.0,0,2,0.0,Москва,0.0
19865,11,11,60,3,Москва,64,21,Renault,SR,75.0,0,270000.0,1250,M,0,0,0,0,0,0,0,0.0,0,1,0.0,Москва,0.01
19868,3,3,55,6,Москва,47,11,Renault,Duster,135.0,0,696500.0,82,M,0,0,N,N,1,0,0,0.0,0,0,0.0,Москва,0.04
19875,12,12,52,6,Санкт-Петербург,57,36,Lada,217030 Priora,98.0,0,158526.0,378,M,0,0,0,0,0,0,0,0.0,0,5,0.0,N,0.04
19892,12,12,21,1,Санкт-Петербург,62,31,Hyundai,Solaris,123.0,0,378675.0,100,M,1L,1L,0,0,0,1,0,0.0,0,2,0.0,Ленинградская,-1.0
19902,4,4,63,2,Москва,41,14,Kia,Ceed,115.0,1,453880.0,N,F,1L,1L,0,0,1,0,0,0.0,0,5,0.0,Москва,0.18
19906,10,10,50,5,Москва,30,9,Nissan,Note,110.0,0,550000.0,N,M,0,0,0,0,0,1,0,0.0,0,1,0.0,Москва,-0.79
19937,9,9,52,6,Санкт-Петербург,24,2,Toyota,RAV4,148.0,1,924764.0,230,F,3,2,0,0,0,1,0,0.666666667,0,2,0.0,Санкт-Петербург,-0.4
19939,9,9,52,6,Санкт-Петербург,58,7,Renault,Sandero,84.0,1,459000.0,171,F,0,0,N,N,0,0,0,0.0,0,0,15000.0,Санкт-Петербург,0.0
19940,9,9,53,6,Санкт-Петербург,35,16,Toyota,Highlander,188.0,0,1921000.0,481,M,0,0,N,N,1,1,0,0.0,0,0,15000.0,Санкт-Петербург,-0.1
19941,9,9,53,6,Санкт-Петербург,34,11,Kia,Sportage,150.0,1,1139900.0,485,M,0,0,N,N,1,1,0,0.0,0,0,0.0,Санкт-Петербург,-1.0
19962,4,4,39,1,Санкт-Петербург,29,1,Hyundai,Solaris,123.0,0,450000.0,157,F,0,0,0,0,0,0,0,0.0,0,1,50000.0,Санкт-Петербург,0.06
19982,12,12,53,6,Москва,38,18,Renault,Duster,102.0,0,784572.0,528,F,1S,1S,N,N,1,1,0,9.0,1,0,0.0,Москва,-0.54
19989,11,11,13,1,Санкт-Петербург,55,17,Kia,Sorento,174.0,0,855000.0,1092,F,0,0,0,0,1,1,0,0.0,0,2,0.0,Санкт-Петербург,0.13
19990,5,5,55,6,Москва,49,18,Hyundai,Solaris,123.0,1,635900.0,881,M,1S,1S,N,N,0,0,0,0.0,0,0,0.0,Московская,-0.14
19991,6,6,53,6,Москва,49,30,Toyota,RAV4,146.0,0,831521.0,272,M,0,0,0,0,1,1,0,0.0,0,2,0.0,Москва,0.0
19998,5,5,52,6,Санкт-Петербург,39,5,Toyota,RAV4,152.0,0,565107.0,234,F,1L,1L,0,0,0,0,0,13.0,0,6,37500.0,Санкт-Петербург,0.16
20005,5,5,54,6,Москва,47,18,BMW,X3,249.0,0,2080000.0,400,M,0,0,N,N,0,0,0,0.0,0,0,0.0,Москва,-0.35
20016,8,8,52,6,Санкт-Петербург,54,29,Ford,Kuga,150.0,1,950000.0,493,M,0,0,N,N,1,1,0,0.0,0,0,0.0,Санкт-Петербург,0.0
20027,7,7,50,5,Москва,29,8,Mitsubishi,Lancer,98.0,0,328050.0,N,F,0,0,0,0,1,1,0,0.0,0,4,15000.0,Москва,0.0
20030,2,2,52,6,Москва,30,12,Ford,Focus,125.0,0,600000.0,910,M,0,0,0,0,0,1,0,0.0,0,3,12500.0,Москва,0.05
20033,4,4,53,6,Санкт-Петербург,44,16,Hyundai,ix35,150.0,1,824018.0,946,M,0,0,0,0,1,0,0,0.0,0,1,10000.0,Санкт-Петербург,-0.26
20039,6,6,49,8,Москва,40,14,Mitsubishi,Outlander,170.0,0,932535.0,N,M,0,0,0,0,1,0,0,0.0,0,5,10000.0,Новосибирская,0.05
20042,7,7,50,5,Москва,37,16,Chevrolet,Lacetti,109.0,0,281000.0,N,M,0,0,0,0,1,0,0,0.0,0,5,5000.0,Москва,-0.28
20049,12,12,55,6,Москва,62,16,Mitsubishi,Lancer X,109.0,0,392941.0,1096,M,0,0,1L,0,0,1,0,0.0,0,4,0.0,Московская,0.17
20053,4,4,50,5,Москва,44,25,Ford,Fusion,101.0,0,350500.0,N,M,1L,0,0,0,1,1,0,8.0,0,1,12500.0,Московская,0.05
20063,7,7,50,5,Москва,37,13,Toyota,RAV4,170.0,0,517000.0,N,F,0,0,0,0,1,1,0,0.0,0,4,0.0,Московская,-0.13
20067,3,3,50,5,Санкт-Петербург,36,12,УАЗ,3163 Patriot,128.0,0,316000.0,N,M,1S,1S,1S,1S,1,1,0,38.0,0,3,5000.0,Санкт-Петербург,0.11
20070,4,4,53,6,Москва,33,5,Audi,Q3,170.0,0,1239840.0,296,M,2,1S,0,0,0,0,0,24.0,0,1,0.0,Московская,-1.0
20076,12,12,53,6,Москва,38,18,Hyundai,ix35,150.0,0,1058900.0,363,M,0,0,N,N,0,0,0,0.0,0,0,0.0,Москва,0.04
20078,8,8,54,6,Москва,26,7,BMW,4-series,184.0,0,2399000.0,344,M,0,0,N,N,0,0,0,0.0,0,0,0.0,Москва,0.0
20083,12,12,60,3,Москва,41,20,Land Rover,Range Rover,248.0,0,5803600.0,1,M,0,0,N,N,0,0,0,0.0,0,0,0.0,Москва,0.04
20084,12,12,53,6,Москва,35,9,Nissan,Note,110.0,0,446448.0,N,F,1L,1L,3,3,0,1,0,6.0,0,3,0.0,Москва,-0.67
20090,9,9,53,6,Санкт-Петербург,31,3,Nissan,Qashqai,114.0,0,618790.0,461,M,0,0,0,0,1,1,0,0.0,0,3,0.0,Санкт-Петербург,0.0
20103,5,5,52,6,Санкт-Петербург,42,17,Toyota,RAV4,180.0,1,1264093.0,1253,F,2,2,0,0,0,0,0,0.0,0,2,0.0,Санкт-Петербург,1.1
20109,9,9,4,4,Санкт-Петербург,39,17,Hyundai,Elantra,122.0,0,330750.0,1144,M,0,0,0,0,0,1,0,0.0,0,7,0.0,Ленинградская,0.02
20114,8,8,43,1,Санкт-Петербург,42,14,Honda,Jazz,83.0,0,324000.0,238,M,0,0,1S,1S,0,1,0,0.0,0,7,0.0,Ленинградская,0.05
20125,8,8,50,5,Москва,30,11,Kia,Ceed,122.0,0,446500.0,N,M,0,0,0,0,1,1,0,0.0,0,2,20000.0,Москва,-0.09
20135,10,10,53,6,Санкт-Петербург,31,12,Ford,Transit,125.0,1,1116697.0,1355,M,0,0,N,N,0,1,0,0.0,0,0,0.0,Ленинградская,-0.5
20143,9,9,52,6,Москва,48,10,Kia,Другая модель (Легковое ТС),150.0,1,921182.0,326,F,0,0,0,0,0,1,0,0.0,0,1,0.0,Москва,0.0
20152,6,6,53,6,Санкт-Петербург,66,22,Nissan,Qashqai,114.0,1,614126.0,343,M,1L,1L,0,0,0,1,0,0.0,0,2,0.0,Санкт-Петербург,0.9
20161,10,10,8,4,Санкт-Петербург,31,9,Renault,Fluence,137.0,0,575100.0,135,M,0,0,0,0,0,0,0,0.0,0,4,0.0,Санкт-Петербург,0.0
20167,9,9,50,5,Москва,57,18,Nissan,Juke,190.0,0,608200.0,N,M,0,0,1S,0,1,1,0,0.0,0,3,0.0,Москва,0.0
20172,10,10,53,6,Москва,35,8,Nissan,Teana,167.0,0,821968.0,585,M,0,0,0,0,0,0,0,0.0,0,3,0.0,Московская,0.06
20177,10,10,52,6,Санкт-Петербург,44,8,Renault,Logan,103.0,0,337631.0,1096,F,0,0,1L,1L,0,1,0,0.0,0,3,15000.0,Санкт-Петербург,0.0
20179,10,10,52,6,Санкт-Петербург,31,8,Skoda,Rapid,105.0,0,529000.0,1096,M,0,0,N,N,0,0,0,0.0,0,0,15000.0,Санкт-Петербург,-0.2
20180,10,10,52,6,Санкт-Петербург,53,18,Renault,Sandero Stepway,84.0,1,455920.0,171,M,0,0,N,N,0,0,0,0.0,0,0,0.0,Ленинградская,-0.07
20188,9,9,50,5,Москва,40,16,Mazda,3,105.0,0,562275.0,N,F,0,0,1L,1L,1,1,0,0.0,0,2,25000.0,Москва,0.0
